,movieId,title,genres
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance
10,11,"American President, The (1995)",Comedy|Drama|Romance
13,14,Nixon (1995),Drama
15,16,Casino (1995),Crime|Drama
16,17,Sense and Sensibility (1995),Drama|Romance
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,24,Powder (1995),Drama|Sci-Fi
24,25,Leaving Las Vegas (1995),Drama|Romance
25,26,Othello (1995),Drama
26,27,Now and Then (1995),Children|Drama
27,28,Persuasion (1995),Drama|Romance
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,31,Dangerous Minds (1995),Drama
32,34,Babe (1995),Children|Drama
33,36,Dead Man Walking (1995),Crime|Drama
36,40,"Cry, the Beloved Country (1995)",Drama
37,41,Richard III (1995),Drama|War
38,42,Dead Presidents (1995),Action|Crime|Drama
39,43,Restoration (1995),Drama
41,45,To Die For (1995),Comedy|Drama|Thriller
42,46,How to Make an American Quilt (1995),Drama|Romance
44,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
45,49,When Night Is Falling (1995),Drama|Romance
47,52,Mighty Aphrodite (1995),Comedy|Drama|Romance
48,53,Lamerica (1994),Adventure|Drama
50,55,Georgia (1995),Drama
51,57,Home for the Holidays (1995),Drama
52,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
54,61,Eye for an Eye (1996),Drama|Thriller
55,62,Mr. Holland's Opus (1995),Drama
64,72,Kicking and Screaming (1995),Comedy|Drama
65,73,"Misérables, Les (1995)",Drama|War
66,74,Bed of Roses (1996),Drama|Romance
67,75,Big Bully (1996),Comedy|Drama
70,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
71,79,"Juror, The (1996)",Drama|Thriller
72,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
73,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
74,82,Antonia's Line (Antonia) (1995),Comedy|Drama
75,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
76,85,Angels and Insects (1995),Drama|Romance
77,86,White Squall (1996),Action|Adventure|Drama
81,92,Mary Reilly (1996),Drama|Horror|Thriller
83,94,Beautiful Girls (1996),Comedy|Drama|Romance
85,96,In the Bleak Midwinter (1995),Comedy|Drama
86,97,"Hate (Haine, La) (1995)",Crime|Drama
88,100,City Hall (1996),Drama|Thriller
93,105,"Bridges of Madison County, The (1995)",Drama|Romance
94,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
97,110,Braveheart (1995),Action|Drama|War
98,111,Taxi Driver (1976),Crime|Drama|Thriller
100,113,Before and After (1996),Drama|Mystery
102,117,"Young Poisoner's Handbook, The (1995)",Crime|Drama
105,121,"Boys of St. Vincent, The (1992)",Drama
107,123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
115,140,Up Close and Personal (1996),Drama|Romance
118,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
120,147,"Basketball Diaries, The (1995)",Drama
121,148,"Awfully Big Adventure, An (1995)",Drama
122,149,Amateur (1994),Crime|Drama|Thriller
123,150,Apollo 13 (1995),Adventure|Drama|IMAX
124,151,Rob Roy (1995),Action|Drama|Romance|War
125,152,"Addiction, The (1995)",Drama|Horror
127,154,Beauty of the Day (Belle de jour) (1967),Drama
128,155,Beyond Rangoon (1995),Adventure|Drama|War
129,156,Blue in the Face (1995),Comedy|Drama
132,159,Clockers (1995),Crime|Drama|Mystery
134,161,Crimson Tide (1995),Drama|Thriller|War
139,166,"Doom Generation, The (1995)",Comedy|Crime|Drama
140,168,First Knight (1995),Action|Drama|Romance
141,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
143,171,Jeffrey (1995),Comedy|Drama
147,175,Kids (1995),Drama
150,178,Love & Human Remains (1993),Comedy|Drama
151,179,Mad Love (1995),Drama|Romance
155,184,Nadja (1994),Drama
162,191,"Scarlet Letter, The (1995)",Drama|Romance
163,193,Showgirls (1995),Drama
164,194,Smoke (1995),Comedy|Drama
165,195,Something to Talk About (1995),Comedy|Drama|Romance
167,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
168,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
169,201,Three Wishes (1995),Drama|Fantasy
170,202,Total Eclipse (1995),Drama|Romance
173,205,Unstrung Heroes (1995),Comedy|Drama
175,207,"Walk in the Clouds, A (1995)",Drama|Romance
177,209,White Man's Burden (1995),Drama
179,211,"Browning Version, The (1994)",Drama
181,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
182,214,Before the Rain (Pred dozhdot) (1994),Drama|War
183,215,Before Sunrise (1995),Drama|Romance
185,217,"Babysitter, The (1995)",Drama|Thriller
186,218,Boys on the Side (1995),Comedy|Drama
187,219,"Cure, The (1995)",Drama
189,222,Circle of Friends (1995),Drama|Romance
191,224,Don Juan DeMarco (1995),Comedy|Drama|Romance
192,225,Disclosure (1994),Drama|Thriller
195,229,Death and the Maiden (1994),Drama|Thriller
196,230,Dolores Claiborne (1995),Drama|Thriller
198,232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
199,233,Exotica (1994),Drama
201,235,Ed Wood (1994),Comedy|Drama
207,241,Fluke (1995),Children|Drama
208,242,Farinelli: il castrato (1994),Drama|Musical
211,247,Heavenly Creatures (1994),Crime|Drama
213,249,Immortal Beloved (1994),Drama|Romance
217,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
218,254,Jefferson in Paris (1995),Drama
223,259,Kiss of Death (1995),Crime|Drama|Thriller
225,261,Little Women (1994),Drama
226,262,"Little Princess, A (1995)",Children|Drama
227,263,Ladybird Ladybird (1994),Drama
228,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
229,266,Legends of the Fall (1994),Drama|Romance|War|Western
231,269,My Crazy Life (Mi vida loca) (1993),Drama
232,270,Love Affair (1994),Drama|Romance
233,271,Losing Isaiah (1995),Drama
234,272,"Madness of King George, The (1994)",Comedy|Drama
235,273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
239,277,Miracle on 34th Street (1994),Drama
241,279,My Family (1995),Drama
242,280,Murder in the First (1995),Drama|Thriller
243,281,Nobody's Fool (1994),Comedy|Drama|Romance
244,282,Nell (1994),Drama
245,283,New Jersey Drive (1995),Crime|Drama
247,285,Beyond Bedlam (1993),Drama|Horror
251,290,Once Were Warriors (1994),Crime|Drama
252,291,Poison Ivy II (1996),Drama|Thriller
253,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
257,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
258,298,Pushing Hands (Tui shou) (1992),Drama
259,299,Priest (1994),Drama
260,300,Quiz Show (1994),Drama
261,301,Picture Bride (Bijo photo) (1994),Drama|Romance
262,302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
264,304,Roommates (1995),Comedy|Drama
266,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
267,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
268,308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
273,314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
274,315,"Specialist, The (1994)",Action|Drama|Thriller
276,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
277,318,"Shawshank Redemption, The (1994)",Crime|Drama
278,319,Shallow Grave (1994),Comedy|Drama|Thriller
280,321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
281,322,Swimming with Sharks (1995),Comedy|Drama
282,324,"Sum of Us, The (1994)",Comedy|Drama
284,326,To Live (Huozhe) (1994),Drama
287,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
289,331,Tom & Viv (1994),Drama
292,334,Vanya on 42nd Street (1994),Drama
294,336,"Walking Dead, The (1995)",Drama|War
295,337,What's Eating Gilbert Grape (1993),Drama
298,340,"War, The (1994)",Adventure|Drama|War
299,341,Double Happiness (1994),Drama
303,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
304,346,Backbeat (1993),Drama|Musical
305,347,Bitter Moon (1992),Drama|Film-Noir|Romance
307,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
308,350,"Client, The (1994)",Drama|Mystery|Thriller
309,351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
310,352,Crooklyn (1994),Comedy|Drama
312,354,Cobb (1994),Drama
314,356,Forrest Gump (1994),Comedy|Drama|Romance|War
316,358,Higher Learning (1995),Drama
317,359,I Like It Like That (1994),Comedy|Drama|Romance
319,361,It Could Happen to You (1994),Comedy|Drama|Romance
322,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
323,365,Little Buddha (1993),Drama
324,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
327,369,Mrs. Parker and the Vicious Circle (1994),Drama
329,371,"Paper, The (1994)",Comedy|Drama
330,372,Reality Bites (1994),Comedy|Drama|Romance
338,381,When a Man Loves a Woman (1994),Drama|Romance
339,382,Wolf (1994),Drama|Horror|Romance|Thriller
341,384,Bad Company (1995),Action|Crime|Drama
342,385,"Man of No Importance, A (1994)",Drama
343,386,S.F.W. (1994),Drama
345,388,Boys Life (1995),Drama
346,389,"Colonel Chabert, Le (1994)",Drama|Romance|War
347,390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
348,391,Jason's Lyric (1994),Crime|Drama
351,406,Federal Hill (1994),Drama
353,408,8 Seconds (1994),Drama
354,409,Above the Rim (1994),Crime|Drama
356,412,"Age of Innocence, The (1993)",Drama
362,418,Being Human (1993),Drama
365,421,Black Beauty (1994),Adventure|Children|Drama
368,424,Blue Chips (1994),Drama
369,425,Blue Sky (1994),Drama|Romance
371,427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
372,428,"Bronx Tale, A (1993)",Drama
374,430,Calendar Girl (1993),Comedy|Drama
375,431,Carlito's Way (1993),Crime|Drama
380,436,Color of Night (1994),Drama|Thriller
382,438,"Cowboy Way, The (1994)",Action|Comedy|Drama
388,446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
389,448,Fearless (1993),Drama
391,450,With Honors (1994),Comedy|Drama
392,451,Flesh and Bone (1993),Drama|Mystery|Romance
393,452,Widows' Peak (1994),Drama
395,454,"Firm, The (1993)",Drama|Thriller
396,455,Free Willy (1993),Adventure|Children|Drama
397,456,Fresh (1994),Crime|Drama|Thriller
399,458,Geronimo: An American Legend (1993),Drama|Western
400,459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
402,461,Go Fish (1994),Drama|Romance
407,469,"House of the Spirits, The (1993)",Drama|Romance
410,472,I'll Do Anything (1994),Comedy|Drama
413,475,In the Name of the Father (1993),Drama
414,476,"Inkwell, The (1994)",Comedy|Drama
415,477,What's Love Got to Do with It? (1993),Drama|Musical
416,478,Jimmy Hollywood (1994),Comedy|Crime|Drama
